dataset,n,T,n_treated_cells,n_treated_units,treated_unit_indices,treatment_start_col_indices,method,tau_hat,ok,error
basque,18,43,23,1,[3],[20],DC_PR_auto_rank,-1.4057680422906669,True,
basque,18,43,23,1,[3],[20],MC_NNM_CV,-0.6165672949511258,True,
basque,18,43,23,1,[3],[20],CovariancePCA,3.21707862443985,True,
basque,18,43,23,1,[3],[20],DID,-0.5318454827798927,True,
basque,18,43,23,1,[3],[20],SDID,-0.764208719270451,True,
basque,18,43,23,1,[3],[20],SC,-0.6915277568793572,True,
basque,18,43,23,1,[3],[20],RobustSyntheticControl,-1.0068965826498988,True,
